Run Name (clean name) (1),Tech||Outputs Group Detailed (electricity supply) (1),State,Year,Value,Unit
Baseline,Customer-sited Solar,indiana,2030,0.854,gigawatt
Baseline,Customer-sited Solar,indiana,2035,1.472,gigawatt
Baseline,Customer-sited Solar,indiana,2040,2.116,gigawatt
Baseline,Customer-sited Solar,indiana,2045,2.857,gigawatt
Baseline,Customer-sited Solar,indiana,2050,3.613,gigawatt
Baseline,Customer-sited Solar,iowa,2021,0.179,gigawatt
Baseline,Customer-sited Solar,iowa,2025,0.699,gigawatt
Baseline,Customer-sited Solar,iowa,2030,1.189,gigawatt
Baseline,Customer-sited Solar,iowa,2035,1.811,gigawatt
Baseline,Customer-sited Solar,iowa,2040,2.143,gigawatt
Baseline,Customer-sited Solar,iowa,2045,2.453,gigawatt
Baseline,Customer-sited Solar,iowa,2050,2.739,gigawatt
Baseline,Customer-sited Solar,kansas,2021,0.043,gigawatt
Baseline,Customer-sited Solar,kansas,2025,0.125,gigawatt
Baseline,Customer-sited Solar,kansas,2030,0.22,gigawatt
Baseline,Customer-sited Solar,kansas,2035,0.348,gigawatt
Baseline,Customer-sited Solar,kansas,2040,0.531,gigawatt
Baseline,Customer-sited Solar,kansas,2045,0.717,gigawatt
Baseline,Customer-sited Solar,kansas,2050,1.048,gigawatt
Baseline,Customer-sited Solar,kentucky,2021,0.048,gigawatt
Baseline,Customer-sited Solar,kentucky,2025,0.187,gigawatt
Baseline,Customer-sited Solar,kentucky,2030,0.414,gigawatt
Baseline,Customer-sited Solar,kentucky,2035,0.738,gigawatt
Baseline,Customer-sited Solar,kentucky,2040,1.029,gigawatt
Baseline,Customer-sited Solar,kentucky,2045,1.364,gigawatt
Baseline,Customer-sited Solar,kentucky,2050,2.473,gigawatt
Baseline,Customer-sited Solar,louisiana,2021,0.167,gigawatt
Baseline,Customer-sited Solar,louisiana,2025,0.397,gigawatt
Baseline,Customer-sited Solar,louisiana,2030,0.967,gigawatt
Baseline,Customer-sited Solar,louisiana,2035,1.431,gigawatt
Baseline,Customer-sited Solar,louisiana,2040,1.662,gigawatt
Baseline,Customer-sited Solar,louisiana,2045,1.882,gigawatt
Baseline,Customer-sited Solar,louisiana,2050,2.15,gigawatt
Baseline,Customer-sited Solar,maine,2021,0.122,gigawatt
Baseline,Customer-sited Solar,maine,2025,0.392,gigawatt
Baseline,Customer-sited Solar,maine,2030,0.458,gigawatt
Baseline,Customer-sited Solar,maine,2035,0.495,gigawatt
Baseline,Customer-sited Solar,maine,2040,0.512,gigawatt
Baseline,Customer-sited Solar,maine,2045,0.525,gigawatt
Baseline,Customer-sited Solar,maine,2050,0.555,gigawatt
Baseline,Customer-sited Solar,maryland,2021,0.895,gigawatt
Baseline,Customer-sited Solar,maryland,2025,2.515,gigawatt
Baseline,Customer-sited Solar,maryland,2030,3.799,gigawatt
Baseline,Customer-sited Solar,maryland,2035,4.538,gigawatt
Baseline,Customer-sited Solar,maryland,2040,4.945,gigawatt
Baseline,Customer-sited Solar,maryland,2045,5.278,gigawatt
Baseline,Customer-sited Solar,maryland,2050,6.358,gigawatt
Baseline,Customer-sited Solar,massachusetts,2021,1.891,gigawatt
Baseline,Customer-sited Solar,massachusetts,2025,4.613,gigawatt
Baseline,Customer-sited Solar,massachusetts,2030,5.273,gigawatt
Baseline,Customer-sited Solar,massachusetts,2035,5.648,gigawatt
Baseline,Customer-sited Solar,massachusetts,2040,5.835,gigawatt
Baseline,Customer-sited Solar,massachusetts,2045,6.02,gigawatt
Baseline,Customer-sited Solar,massachusetts,2050,6.521,gigawatt
Baseline,Customer-sited Solar,michigan,2021,0.155,gigawatt
Baseline,Customer-sited Solar,michigan,2025,0.427,gigawatt
Baseline,Customer-sited Solar,michigan,2030,1.308,gigawatt
Baseline,Customer-sited Solar,michigan,2035,2.775,gigawatt
Baseline,Customer-sited Solar,michigan,2040,3.774,gigawatt
Baseline,Customer-sited Solar,michigan,2045,4.373,gigawatt
Baseline,Customer-sited Solar,michigan,2050,5.04,gigawatt
Baseline,Customer-sited Solar,minnesota,2021,0.139,gigawatt
Baseline,Customer-sited Solar,minnesota,2025,0.637,gigawatt
Baseline,Customer-sited Solar,minnesota,2030,1.13,gigawatt
Baseline,Customer-sited Solar,minnesota,2035,1.763,gigawatt
Baseline,Customer-sited Solar,minnesota,2040,2.094,gigawatt
Baseline,Customer-sited Solar,minnesota,2045,2.436,gigawatt
Baseline,Customer-sited Solar,minnesota,2050,2.604,gigawatt
Baseline,Customer-sited Solar,mississippi,2021,0.011,gigawatt
Baseline,Customer-sited Solar,mississippi,2025,0.08,gigawatt
Baseline,Customer-sited Solar,mississippi,2030,0.228,gigawatt
Baseline,Customer-sited Solar,mississippi,2035,0.383,gigawatt
Baseline,Customer-sited Solar,mississippi,2040,0.495,gigawatt
Baseline,Customer-sited Solar,mississippi,2045,0.658,gigawatt
Baseline,Customer-sited Solar,mississippi,2050,0.895,gigawatt
Baseline,Customer-sited Solar,missouri,2021,0.278,gigawatt
Baseline,Customer-sited Solar,missouri,2025,0.595,gigawatt
Baseline,Customer-sited Solar,missouri,2030,1.065,gigawatt
Baseline,Customer-sited Solar,missouri,2035,1.736,gigawatt
Baseline,Customer-sited Solar,missouri,2040,2.522,gigawatt
Baseline,Customer-sited Solar,missouri,2045,3.404,gigawatt
Baseline,Customer-sited Solar,missouri,2050,4.555,gigawatt
Baseline,Customer-sited Solar,montana,2021,0.03,gigawatt
Baseline,Customer-sited Solar,montana,2025,0.089,gigawatt
Baseline,Customer-sited Solar,montana,2030,0.156,gigawatt
Baseline,Customer-sited Solar,montana,2035,0.216,gigawatt
Baseline,Customer-sited Solar,montana,2040,0.247,gigawatt
Baseline,Customer-sited Solar,montana,2045,0.273,gigawatt
Baseline,Customer-sited Solar,montana,2050,0.303,gigawatt
Baseline,Customer-sited Solar,nebraska,2021,0.016,gigawatt
Baseline,Customer-sited Solar,nebraska,2025,0.153,gigawatt
Baseline,Customer-sited Solar,nebraska,2030,0.247,gigawatt
Baseline,Customer-sited Solar,nebraska,2035,0.356,gigawatt
Baseline,Customer-sited Solar,nebraska,2040,0.455,gigawatt
Baseline,Customer-sited Solar,nebraska,2045,0.547,gigawatt
Baseline,Customer-sited Solar,nebraska,2050,0.722,gigawatt
Baseline,Customer-sited Solar,nevada,2021,0.636,gigawatt
Baseline,Customer-sited Solar,nevada,2025,1.381,gigawatt
Baseline,Customer-sited Solar,nevada,2030,1.801,gigawatt
Baseline,Customer-sited Solar,nevada,2035,2.052,gigawatt
Baseline,Customer-sited Solar,nevada,2040,2.473,gigawatt
Baseline,Customer-sited Solar,nevada,2045,2.893,gigawatt
Baseline,Customer-sited Solar,nevada,2050,3.932,gigawatt
Baseline,Customer-sited Solar,new hampshire,2021,0.149,gigawatt
Baseline,Customer-sited Solar,new hampshire,2025,0.462,gigawatt
Baseline,Customer-sited Solar,new hampshire,2030,0.537,gigawatt
Baseline,Customer-sited Solar,new hampshire,2035,0.58,gigawatt
Baseline,Customer-sited Solar,new hampshire,2040,0.602,gigawatt
Baseline,Customer-sited Solar,new hampshire,2045,0.625,gigawatt
Baseline,Customer-sited Solar,new hampshire,2050,0.693,gigawatt
Baseline,Customer-sited Solar,new jersey,2021,2.057,gigawatt
Baseline,Customer-sited Solar,new jersey,2025,5.642,gigawatt
Baseline,Customer-sited Solar,new jersey,2030,8.098,gigawatt
Baseline,Customer-sited Solar,new jersey,2035,8.941,gigawatt
Baseline,Customer-sited Solar,new jersey,2040,9.296,gigawatt
Baseline,Customer-sited Solar,new jersey,2045,9.485,gigawatt
Baseline,Customer-sited Solar,new jersey,2050,11.114,gigawatt
Baseline,Customer-sited Solar,new mexico,2021,0.264,gigawatt
Baseline,Customer-sited Solar,new mexico,2025,0.691,gigawatt
Baseline,Customer-sited Solar,new mexico,2030,1.015,gigawatt
Baseline,Customer-sited Solar,new mexico,2035,1.201,gigawatt
Baseline,Customer-sited Solar,new mexico,2040,1.298,gigawatt
Baseline,Customer-sited Solar,new mexico,2045,1.399,gigawatt
Baseline,Customer-sited Solar,new mexico,2050,1.59,gigawatt
Baseline,Customer-sited Solar,new york,2021,2.195,gigawatt
Baseline,Customer-sited Solar,new york,2025,5.092,gigawatt
Baseline,Customer-sited Solar,new york,2030,7.1,gigawatt
Baseline,Customer-sited Solar,new york,2035,8.739,gigawatt
Baseline,Customer-sited Solar,new york,2040,9.706,gigawatt
Baseline,Customer-sited Solar,new york,2045,10.332,gigawatt
Baseline,Customer-sited Solar,new york,2050,12.321,gigawatt
Baseline,Customer-sited Solar,north carolina,2021,0.3,gigawatt
Baseline,Customer-sited Solar,north carolina,2025,1.591,gigawatt
Baseline,Customer-sited Solar,north carolina,2030,3.241,gigawatt
Baseline,Customer-sited Solar,north carolina,2035,5.188,gigawatt
Baseline,Customer-sited Solar,north carolina,2040,6.546,gigawatt
Baseline,Customer-sited Solar,north carolina,2045,7.919,gigawatt
Baseline,Customer-sited Solar,north carolina,2050,8.878,gigawatt
Baseline,Customer-sited Solar,north dakota,2021,0.001,gigawatt
Baseline,Customer-sited Solar,north dakota,2025,0.016,gigawatt
Baseline,Customer-sited Solar,north dakota,2030,0.026,gigawatt
Baseline,Customer-sited Solar,north dakota,2035,0.038,gigawatt
Baseline,Customer-sited Solar,north dakota,2040,0.047,gigawatt
Baseline,Customer-sited Solar,north dakota,2045,0.058,gigawatt
Baseline,Customer-sited Solar,north dakota,2050,0.089,gigawatt
Baseline,Customer-sited Solar,ohio,2021,0.224,gigawatt
Baseline,Customer-sited Solar,ohio,2025,0.903,gigawatt
Baseline,Customer-sited Solar,ohio,2030,1.951,gigawatt
Baseline,Customer-sited Solar,ohio,2035,3.278,gigawatt
Baseline,Customer-sited Solar,ohio,2040,4.663,gigawatt
Baseline,Customer-sited Solar,ohio,2045,5.873,gigawatt
Baseline,Customer-sited Solar,ohio,2050,7.075,gigawatt
Baseline,Customer-sited Solar,oklahoma,2021,0.033,gigawatt
Baseline,Customer-sited Solar,oklahoma,2025,0.168,gigawatt
Baseline,Customer-sited Solar,oklahoma,2030,0.509,gigawatt
Baseline,Customer-sited Solar,oklahoma,2035,0.761,gigawatt
Baseline,Customer-sited Solar,oklahoma,2040,0.938,gigawatt
Baseline,Customer-sited Solar,oklahoma,2045,1.144,gigawatt
Baseline,Customer-sited Solar,oklahoma,2050,1.413,gigawatt
Baseline,Customer-sited Solar,oregon,2021,0.239,gigawatt
Baseline,Customer-sited Solar,oregon,2025,0.611,gigawatt
Baseline,Customer-sited Solar,oregon,2030,1.053,gigawatt
Baseline,Customer-sited Solar,oregon,2035,1.44,gigawatt
Baseline,Customer-sited Solar,oregon,2040,1.637,gigawatt
Baseline,Customer-sited Solar,oregon,2045,1.858,gigawatt
Baseline,Customer-sited Solar,oregon,2050,2.907,gigawatt
Baseline,Customer-sited Solar,pennsylvania,2021,0.543,gigawatt
Baseline,Customer-sited Solar,pennsylvania,2025,2.189,gigawatt
Baseline,Customer-sited Solar,pennsylvania,2030,3.579,gigawatt
Baseline,Customer-sited Solar,pennsylvania,2035,4.492,gigawatt
Baseline,Customer-sited Solar,pennsylvania,2040,5.3,gigawatt
Baseline,Customer-sited Solar,pennsylvania,2045,5.943,gigawatt
Baseline,Customer-sited Solar,pennsylvania,2050,7.265,gigawatt
Baseline,Customer-sited Solar,rhode island,2021,0.272,gigawatt
Baseline,Customer-sited Solar,rhode island,2025,0.664,gigawatt
Baseline,Customer-sited Solar,rhode island,2030,0.759,gigawatt
Baseline,Customer-sited Solar,rhode island,2035,0.813,gigawatt
Baseline,Customer-sited Solar,rhode island,2040,0.838,gigawatt
Baseline,Customer-sited Solar,rhode island,2045,0.86,gigawatt
Baseline,Customer-sited Solar,rhode island,2050,0.906,gigawatt
Baseline,Customer-sited Solar,south carolina,2021,0.302,gigawatt
Baseline,Customer-sited Solar,south carolina,2025,1.211,gigawatt
Baseline,Customer-sited Solar,south carolina,2030,2.365,gigawatt
Baseline,Customer-sited Solar,south carolina,2035,3.722,gigawatt
Baseline,Customer-sited Solar,south carolina,2040,5.015,gigawatt
Baseline,Customer-sited Solar,south carolina,2045,6.3,gigawatt
Baseline,Customer-sited Solar,south carolina,2050,6.77,gigawatt
Baseline,Customer-sited Solar,south dakota,2021,0.001,gigawatt
Baseline,Customer-sited Solar,south dakota,2025,0.012,gigawatt
Baseline,Customer-sited Solar,south dakota,2030,0.02,gigawatt
Baseline,Customer-sited Solar,south dakota,2035,0.028,gigawatt
Baseline,Customer-sited Solar,south dakota,2040,0.035,gigawatt
Baseline,Customer-sited Solar,south dakota,2045,0.043,gigawatt
Baseline,Customer-sited Solar,south dakota,2050,0.051,gigawatt
Baseline,Customer-sited Solar,tennessee,2021,0.054,gigawatt
Baseline,Customer-sited Solar,tennessee,2025,0.203,gigawatt
Baseline,Customer-sited Solar,tennessee,2030,0.448,gigawatt
Baseline,Customer-sited Solar,tennessee,2035,0.8,gigawatt
Baseline,Customer-sited Solar,tennessee,2040,1.094,gigawatt
Baseline,Customer-sited Solar,tennessee,2045,1.492,gigawatt
Baseline,Customer-sited Solar,tennessee,2050,2.039,gigawatt
Baseline,Customer-sited Solar,texas,2021,1.592,gigawatt
Baseline,Customer-sited Solar,texas,2025,5.3,gigawatt
Baseline,Customer-sited Solar,texas,2030,12.113,gigawatt
Baseline,Customer-sited Solar,texas,2035,17.13,gigawatt
Baseline,Customer-sited Solar,texas,2040,19.115,gigawatt
Baseline,Customer-sited Solar,texas,2045,21.079,gigawatt
Baseline,Customer-sited Solar,texas,2050,23.25,gigawatt
Baseline,Customer-sited Solar,utah,2021,0.386,gigawatt
Baseline,Customer-sited Solar,utah,2025,0.974,gigawatt
Baseline,Customer-sited Solar,utah,2030,1.305,gigawatt
Baseline,Customer-sited Solar,utah,2035,1.503,gigawatt
Baseline,Customer-sited Solar,utah,2040,1.747,gigawatt
Baseline,Customer-sited Solar,utah,2045,1.984,gigawatt
Baseline,Customer-sited Solar,utah,2050,2.704,gigawatt
Baseline,Customer-sited Solar,vermont,2021,0.147,gigawatt
Baseline,Customer-sited Solar,vermont,2025,0.369,gigawatt
Baseline,Customer-sited Solar,vermont,2030,0.423,gigawatt
Baseline,Customer-sited Solar,vermont,2035,0.454,gigawatt
Baseline,Customer-sited Solar,vermont,2040,0.468,gigawatt
Baseline,Customer-sited Solar,vermont,2045,0.481,gigawatt
Baseline,Customer-sited Solar,vermont,2050,0.517,gigawatt
Baseline,Customer-sited Solar,virginia,2021,0.21,gigawatt
Baseline,Customer-sited Solar,virginia,2025,0.951,gigawatt
Baseline,Customer-sited Solar,virginia,2030,1.945,gigawatt
Baseline,Customer-sited Solar,virginia,2035,3.123,gigawatt
Baseline,Customer-sited Solar,virginia,2040,4.004,gigawatt
Baseline,Customer-sited Solar,virginia,2045,4.839,gigawatt
Baseline,Customer-sited Solar,virginia,2050,6.14,gigawatt
Baseline,Customer-sited Solar,washington,2021,0.259,gigawatt
Baseline,Customer-sited Solar,washington,2025,0.638,gigawatt
Baseline,Customer-sited Solar,washington,2030,1.09,gigawatt
Baseline,Customer-sited Solar,washington,2035,1.485,gigawatt
Baseline,Customer-sited Solar,washington,2040,1.684,gigawatt
Baseline,Customer-sited Solar,washington,2045,1.851,gigawatt
Baseline,Customer-sited Solar,washington,2050,2.254,gigawatt
Baseline,Customer-sited Solar,west virginia,2021,0.018,gigawatt
Baseline,Customer-sited Solar,west virginia,2025,0.087,gigawatt
Baseline,Customer-sited Solar,west virginia,2030,0.193,gigawatt
Baseline,Customer-sited Solar,west virginia,2035,0.328,gigawatt
Baseline,Customer-sited Solar,west virginia,2040,0.469,gigawatt
Baseline,Customer-sited Solar,west virginia,2045,0.571,gigawatt
Baseline,Customer-sited Solar,west virginia,2050,0.675,gigawatt
Baseline,Customer-sited Solar,wisconsin,2021,0.145,gigawatt
Baseline,Customer-sited Solar,wisconsin,2025,0.676,gigawatt
Baseline,Customer-sited Solar,wisconsin,2030,1.216,gigawatt
Baseline,Customer-sited Solar,wisconsin,2035,1.911,gigawatt
Baseline,Customer-sited Solar,wisconsin,2040,2.263,gigawatt
Baseline,Customer-sited Solar,wisconsin,2045,2.635,gigawatt
Baseline,Customer-sited Solar,wisconsin,2050,2.773,gigawatt
Baseline,Customer-sited Solar,wyoming,2021,0.012,gigawatt
Baseline,Customer-sited Solar,wyoming,2025,0.047,gigawatt
Baseline,Customer-sited Solar,wyoming,2030,0.07,gigawatt
Baseline,Customer-sited Solar,wyoming,2035,0.09,gigawatt
Baseline,Customer-sited Solar,wyoming,2040,0.105,gigawatt
Baseline,Customer-sited Solar,wyoming,2045,0.116,gigawatt
Baseline,Customer-sited Solar,wyoming,2050,0.133,gigawatt
Baseline,Transmission-sited Solar,alabama,2021,0.417,gigawatt
Baseline,Transmission-sited Solar,alabama,2025,1.758,gigawatt
Baseline,Transmission-sited Solar,alabama,2030,3.435,gigawatt
Baseline,Transmission-sited Solar,alabama,2035,5.113,gigawatt
Baseline,Transmission-sited Solar,alabama,2040,6.943,gigawatt
Baseline,Transmission-sited Solar,alabama,2045,8.772,gigawatt
Baseline,Transmission-sited Solar,alabama,2050,9.698,gigawatt
Baseline,Transmission-sited Solar,alaska,2025,0.004,gigawatt
Baseline,Transmission-sited Solar,alaska,2030,0.006,gigawatt
Baseline,Transmission-sited Solar,alaska,2035,0.008,gigawatt
Baseline,Transmission-sited Solar,alaska,2040,0.014,gigawatt
Baseline,Transmission-sited Solar,alaska,2045,0.018,gigawatt
Baseline,Transmission-sited Solar,alaska,2050,0.022,gigawatt
Baseline,Transmission-sited Solar,arizona,2021,2.592,gigawatt
Baseline,Transmission-sited Solar,arizona,2025,2.604,gigawatt
Baseline,Transmission-sited Solar,arizona,2030,2.615,gigawatt
Baseline,Transmission-sited Solar,arizona,2035,2.629,gigawatt
Baseline,Transmission-sited Solar,arizona,2040,2.65,gigawatt
Baseline,Transmission-sited Solar,arizona,2045,2.379,gigawatt
Baseline,Transmission-sited Solar,arizona,2050,3.303,gigawatt
Baseline,Transmission-sited Solar,arkansas,2021,0.105,gigawatt
Baseline,Transmission-sited Solar,arkansas,2025,0.495,gigawatt
Baseline,Transmission-sited Solar,arkansas,2030,0.981,gigawatt
Baseline,Transmission-sited Solar,arkansas,2035,1.498,gigawatt
Baseline,Transmission-sited Solar,arkansas,2040,2.016,gigawatt
Baseline,Transmission-sited Solar,arkansas,2045,2.521,gigawatt
Baseline,Transmission-sited Solar,arkansas,2050,3.032,gigawatt
Baseline,Transmission-sited Solar,california,2021,15.454,gigawatt
Baseline,Transmission-sited Solar,california,2025,16.474,gigawatt
Baseline,Transmission-sited Solar,california,2030,17.714,gigawatt
Baseline,Transmission-sited Solar,california,2035,19.499,gigawatt
Baseline,Transmission-sited Solar,california,2040,23.117,gigawatt
Baseline,Transmission-sited Solar,california,2045,25.986,gigawatt
Baseline,Transmission-sited Solar,california,2050,27.577,gigawatt
Baseline,Transmission-sited Solar,colorado,2021,1.002,gigawatt
Baseline,Transmission-sited Solar,colorado,2025,1.025,gigawatt
Baseline,Transmission-sited Solar,colorado,2030,1.052,gigawatt
Baseline,Transmission-sited Solar,colorado,2035,2.375,gigawatt
Baseline,Transmission-sited Solar,colorado,2040,3.698,gigawatt
Baseline,Transmission-sited Solar,colorado,2045,4.522,gigawatt
Baseline,Transmission-sited Solar,colorado,2050,4.672,gigawatt
Baseline,Transmission-sited Solar,connecticut,2021,0.245,gigawatt
Baseline,Transmission-sited Solar,connecticut,2025,0.691,gigawatt
Baseline,Transmission-sited Solar,connecticut,2030,0.691,gigawatt
Baseline,Transmission-sited Solar,connecticut,2035,0.692,gigawatt
Baseline,Transmission-sited Solar,connecticut,2040,0.697,gigawatt
Baseline,Transmission-sited Solar,connecticut,2045,2.568,gigawatt
Baseline,Transmission-sited Solar,connecticut,2050,2.57,gigawatt
Baseline,Transmission-sited Solar,delaware,2021,0.037,gigawatt
Baseline,Transmission-sited Solar,delaware,2025,0.039,gigawatt
Baseline,Transmission-sited Solar,delaware,2030,0.039,gigawatt
Baseline,Transmission-sited Solar,delaware,2035,0.039,gigawatt
Baseline,Transmission-sited Solar,delaware,2040,0.039,gigawatt
Baseline,Transmission-sited Solar,delaware,2045,0.04,gigawatt
Baseline,Transmission-sited Solar,delaware,2050,0.172,gigawatt
Baseline,Transmission-sited Solar,district of columbia,2021,0.018,gigawatt
Baseline,Transmission-sited Solar,district of columbia,2025,0.018,gigawatt
Baseline,Transmission-sited Solar,district of columbia,2030,0.018,gigawatt
Baseline,Transmission-sited Solar,district of columbia,2035,0.018,gigawatt
Baseline,Transmission-sited Solar,district of columbia,2040,0.018,gigawatt
Baseline,Transmission-sited Solar,district of columbia,2045,0.018,gigawatt
Baseline,Transmission-sited Solar,district of columbia,2050,0.018,gigawatt
Baseline,Transmission-sited Solar,florida,2021,4.732,gigawatt
Baseline,Transmission-sited Solar,florida,2025,26.969,gigawatt
Baseline,Transmission-sited Solar,florida,2030,27.152,gigawatt
Baseline,Transmission-sited Solar,florida,2035,27.337,gigawatt
Baseline,Transmission-sited Solar,florida,2040,27.604,gigawatt
Baseline,Transmission-sited Solar,florida,2045,32.966,gigawatt
Baseline,Transmission-sited Solar,florida,2050,38.219,gigawatt
Baseline,Transmission-sited Solar,georgia,2021,3.099,gigawatt
